transaction_id,timestamp,sender_account,receiver_account,amount,currency,sender_country,receiver_country,transaction_type,channel
TXN0050807,2025-02-23 10:08:51,ACC100662,ACC101604,94.08,GBP,United Kingdom,Ireland,withdrawal,atm_withdrawal
TXN0035695,2025-03-26 21:12:53,ACC101715,ACC101949,128.67,GBP,Netherlands,Germany,transfer,online_transfer
TXN0010835,2025-07-29 10:02:25,ACC100025,ACC100677,44.24,GBP,France,Ireland,payment,online_transfer
TXN0031111,2025-03-08 10:40:21,ACC102280,ACC101281,178.79,GBP,United Kingdom,Spain,transfer,online_transfer
TXN0034912,2025-07-23 20:03:18,ACC102012,ACC100726,41.01,GBP,United Kingdom,United Kingdom,payment,mobile_app
TXN0057930,2025-01-15 21:25:06,ACC101473,ACC102615,2844.31,GBP,Cyprus,France,payment,atm_withdrawal
TXN0005989,2025-04-06 15:19:59,ACC100717,ACC100342,116.34,GBP,Germany,France,payment,mobile_app
TXN0039458,2025-06-28 20:03:44,ACC100491,ACC101384,351.7,GBP,Spain,Spain,deposit,wire_transfer
TXN0051310,2025-04-19 23:18:38,ACC102764,ACC100825,936.99,GBP,France,Netherlands,deposit,card_payment
TXN0058614,2025-05-02 04:06:42,ACC101535,ACC102638,61.39,GBP,Canada,Spain,transfer,mobile_app
TXN0024884,2025-04-11 08:54:59,ACC101345,ACC102121,278.5,GBP,Canada,Ireland,transfer,atm_withdrawal
TXN0017666,2025-12-25 17:08:13,ACC102935,ACC101549,671.29,GBP,United States,Australia,transfer,online_transfer
TXN0044586,2025-08-16 01:46:16,ACC100742,ACC100037,81.98,GBP,Canada,France,deposit,wire_transfer
TXN0010941,2025-07-05 16:10:41,ACC102246,ACC101553,174.55,GBP,Ireland,Canada,deposit,atm_withdrawal
TXN0016875,2025-06-15 14:26:04,ACC101529,ACC101314,183.99,GBP,France,Netherlands,transfer,atm_withdrawal
TXN0049747,2025-03-16 08:32:29,ACC102819,ACC102358,130.66,GBP,United States,United Kingdom,payment,wire_transfer
TXN0056346,2025-08-20 04:41:33,ACC101535,ACC100454,48.11,GBP,Canada,US,transfer,wire_transfer
TXN0038778,2025-06-07 04:29:18,ACC100872,ACC102826,169.21,GBP,Germany,Germany,transfer,mobile_app
TXN0030055,2025-06-30 08:07:51,ACC100189,ACC102469,176.02,GBP,Canada,Spain,payment,atm_withdrawal
TXN0055074,2025-04-20 13:28:30,ACC101386,ACC101574,555.31,GBP,Ireland,Australia,deposit,wire_transfer
TXN0000476,2025-07-13 13:37:41,ACC102186,ACC102453,898.36,GBP,Germany,Australia,payment,online_transfer
TXN0043761,2025-01-10 10:26:24,ACC102215,ACC102704,219.1,GBP,Ireland,Spain,transfer,mobile_app
TXN0024478,2025-05-22 15:11:01,ACC101702,ACC100085,145.16,GBP,France,United Kingdom,withdrawal,wire_transfer
TXN0011619,2025-04-17 08:53:05,ACC102020,ACC100222,225.81,GBP,Netherlands,France,payment,card_payment
TXN0053354,2025-07-12 08:24:58,ACC101750,ACC101473,261.54,GBP,Australia,Cyprus,withdrawal,wire_transfer
TXN0048644,2025-09-14 16:44:24,ACC101465,ACC100168,415.32,GBP,Seychelles,Australia,withdrawal,wire_transfer
TXN0049442,2025-11-19 05:58:44,ACC101377,ACC101589,578.99,GBP,Australia,United Kingdom,transfer,online_transfer
TXN0007499,2025-11-26 17:03:43,ACC102611,ACC101760,94.13,GBP,United States,United Kingdom,deposit,online_transfer
TXN0031732,2025-02-03 18:54:12,ACC100239,ACC102612,97.26,GBP,Ireland,United States,transfer,card_payment
TXN0018575,2025-05-17 16:16:07,ACC102106,ACC100979,215.57,GBP,Netherlands,Australia,payment,mobile_app
TXN0021082,2025-04-09 18:52:22,ACC101265,ACC102551,84.02,GBP,Australia,France,withdrawal,wire_transfer
TXN0023469,2025-06-05 15:56:39,ACC100936,ACC102969,112.59,GBP,Canada,Canada,deposit,wire_transfer
TXN0024239,2025-11-18 02:30:46,ACC102106,ACC102259,186.99,GBP,Netherlands,Germany,withdrawal,online_transfer
TXN0012597,2025-05-31 22:11:24,ACC101473,ACC101265,174.03,GBP,Cyprus,Australia,transfer,card_payment
TXN0049932,2025-06-29 15:55:19,ACC101312,ACC102675,116.97,GBP,Spain,Germany,deposit,mobile_app
TXN0006692,2025-05-27 20:59:24,ACC100571,ACC100619,948.92,GBP,Netherlands,Germany,withdrawal,wire_transfer
TXN0024465,2025-05-04 10:28:46,ACC101246,ACC101084,1246.88,GBP,Netherlands,Netherlands,withdrawal,wire_transfer
TXN0006821,2025-03-21 12:45:33,ACC100722,ACC100052,109.47,GBP,Spain,UK,transfer,wire_transfer
TXN0031567,2025-01-31 16:51:14,ACC101736,ACC100518,160.34,GBP,Spain,UK,deposit,online_transfer
TXN0056960,2025-04-20 17:30:35,ACC102714,ACC101435,44.88,GBP,Netherlands,Ireland,payment,mobile_app
TXN0003104,2025-06-17 10:21:25,ACC100765,ACC100032,73.29,GBP,United States,United States,payment,online_transfer
TXN0037445,2025-01-30 07:58:26,ACC102734,ACC100574,270.02,GBP,Netherlands,Netherlands,payment,atm_withdrawal
TXN0000054,2025-10-07 10:17:09,ACC102063,ACC101193,211.53,GBP,Netherlands,Ireland,deposit,card_payment
TXN0027049,2025-10-24 00:14:49,ACC100397,ACC100992,520.88,GBP,United States,United States,withdrawal,card_payment
TXN0042564,2025-04-26 23:57:19,ACC102870,ACC100471,72.42,GBP,Germany,Canada,withdrawal,online_transfer
TXN0004689,2025-12-16 18:53:48,ACC101144,ACC100483,170.56,GBP,France,United Kingdom,withdrawal,atm_withdrawal
TXN0000890,2025-12-16 05:54:56,ACC100194,ACC102578,161.31,GBP,Canada,USA,transfer,card_payment
TXN0010134,2025-08-28 23:23:27,ACC101352,ACC100628,37.92,GBP,Germany,Spain,payment,online_transfer
TXN0020768,2025-03-01 10:59:52,ACC100165,ACC100133,138.85,GBP,Spain,Germany,payment,online_transfer
TXN0019730,2025-08-12 02:53:47,ACC101377,ACC100554,285.35,GBP,Australia,Spain,deposit,online_transfer
TXN0035411,2025-08-31 10:39:51,ACC100645,ACC102723,298.52,GBP,Netherlands,France,payment,card_payment
TXN0026701,2025-07-22 10:09:41,ACC100476,ACC101472,186.37,GBP,France,Spain,deposit,wire_transfer
TXN0050632,2025-04-18 15:06:45,ACC101203,ACC101447,238.01,GBP,Australia,Spain,withdrawal,online_transfer
TXN0055285,2025-06-25 15:39:58,ACC102954,ACC102263,249.75,GBP,France,Germany,deposit,online_transfer
TXN0049086,2025-11-28 14:15:53,ACC102217,ACC102680,40.4,GBP,France,Australia,payment,atm_withdrawal
TXN0057290,2025-02-17 00:10:21,ACC101205,ACC101891,135.13,GBP,Ireland,France,transfer,mobile_app
TXN0015719,2025-07-08 09:55:14,ACC102107,ACC100902,75.61,GBP,United Kingdom,France,payment,mobile_app
TXN0011708,08/02/2025 07:06,ACC100803,ACC101299,52.15,GBP,France,Ireland,payment,mobile_app
TXN0009931,2025-07-02 20:10:17,ACC100368,ACC102710,126.64,GBP,Germany,Germany,transfer,wire_transfer
TXN0046383,2025-05-03 09:09:19,ACC101222,ACC100328,29.11,GBP,United States,France,withdrawal,online_transfer
TXN0028508,09/01/2025 04:44,ACC101012,ACC102396,393.55,GBP,Ireland,Netherlands,withdrawal,mobile_app
TXN0045321,2025-03-27 07:43:39,ACC101854,ACC101241,184.14,GBP,United States,Ireland,transfer,mobile_app
TXN0001557,2025-09-02 06:46:04,ACC102705,ACC101488,133.52,GBP,Spain,Spain,transfer,atm_withdrawal
TXN0032169,2025-09-29 09:57:01,ACC101485,ACC100654,82.24,GBP,Netherlands,U.S.A.,deposit,mobile_app
TXN0012692,2025-07-18 15:44:21,ACC102580,ACC101238,1189.65,GBP,Germany,Germany,withdrawal,wire_transfer
TXN0056247,2025-04-29 22:14:21,ACC102345,ACC101322,1907.17,GBP,Australia,France,withdrawal,wire_transfer
TXN0017473,2025-01-12 00:17:19,ACC101397,ACC101797,392.23,GBP,Germany,United States,deposit,atm_withdrawal
TXN0023451,2025-07-12 01:49:54,ACC101165,ACC100113,153.56,GBP,Canada,Canada,deposit,mobile_app
TXN0049029,2025-01-08 12:17:53,ACC101002,ACC100181,36.62,GBP,Cayman Islands,France,deposit,wire_transfer
TXN0013579,2025-03-18 12:52:00,ACC100492,ACC100388,402.01,GBP,Spain,Spain,transfer,atm_withdrawal
TXN0053342,2025-08-31 14:00:08,ACC102219,ACC101216,621.47,GBP,Netherlands,France,deposit,mobile_app
TXN0008473,2025-01-30 11:07:06,ACC102807,ACC101177,260.38,GBP,United States,France,deposit,online_transfer
TXN0002399,2025-11-15 12:35:00,ACC102885,ACC101678,155.75,GBP,Ireland,Germany,transfer,online_transfer
TXN0039708,2025-09-17 14:48:26,ACC101985,ACC100569,155.35,GBP,,United Kingdom,deposit,
TXN0012111,2025-10-02 21:59:50,ACC102149,ACC102945,122.86,GBP,United States,Netherlands,deposit,card_payment
TXN0014835,2025-07-12 14:21:20,ACC102906,ACC100528,300.84,GBP,Netherlands,Canada,deposit,atm_withdrawal
TXN0032281,2025-10-26 18:47:22,ACC100640,ACC100492,385.98,GBP,Ireland,Spain,payment,online_transfer
TXN0030213,2025-01-26 11:44:00,ACC102939,ACC102377,200.93,GBP,Spain,France,withdrawal,mobile_app
TXN0038782,2025-08-27 18:13:51,ACC101707,ACC102494,874.28,GBP,France,Seychelles,transfer,card_payment
TXN0014936,2025-03-27 07:56:18,ACC102569,ACC101697,128.38,GBP,France,France,payment,mobile_app
TXN0004644,2025-12-12 15:00:37,ACC100799,ACC100923,950.07,GBP,United States,Germany,transfer,mobile_app
TXN0012542,2025-09-18 22:58:17,ACC101533,ACC102866,537.26,GBP,France,United States,payment,online_transfer
TXN0013154,28/08/2025 05:13,ACC100544,ACC102973,201.85,GBP,Ireland,United Kingdom,payment,card_payment
TXN0007040,2025-12-23 10:17:15,ACC101459,ACC102957,87.54,GBP,Australia,United Kingdom,withdrawal,online_transfer
TXN0045804,2025-09-04 15:42:19,ACC101473,ACC101664,678.91,GBP,Cyprus,Ireland,transfer,
TXN0007568,2025-01-29 04:07:56,ACC101635,ACC102486,459.76,GBP,France,Germany,transfer,online_transfer
TXN0047049,2025-02-12 00:49:02,ACC100271,ACC100397,1105.05,GBP,Spain,United States,transfer,wire_transfer
TXN0053237,2025-07-28 02:39:12,ACC102806,ACC101284,1280.09,GBP,Spain,Australia,payment,wire_transfer
TXN0039751,2025-03-09 08:23:26,ACC101529,ACC100885,51.05,GBP,France,France,withdrawal,mobile_app
TXN0051037,2025-05-18 11:33:32,ACC101634,ACC102044,112.14,GBP,Australia,Ireland,deposit,wire_transfer
TXN0047339,2025-07-18 11:45:06,ACC101220,ACC100790,925.54,GBP,United Kingdom,Germany,withdrawal,online_transfer
TXN0051024,2025-04-18 06:33:20,ACC101643,ACC102586,91.66,GBP,France,Australia,payment,wire_transfer
TXN0057046,2025-08-25 00:45:27,ACC102408,ACC102246,243.59,GBP,Ireland,Ireland,payment,mobile_app
TXN0017983,2025-06-03 05:27:49,ACC101496,ACC100842,32.27,GBP,Spain,United Kingdom,payment,wire_transfer
TXN0058442,2025-10-11 10:58:53,ACC102151,ACC102321,180.42,GBP,Germany,Germany,withdrawal,mobile_app
TXN0008537,2025-09-09 12:25:48,ACC101761,ACC101204,215.38,GBP,Australia,Canada,payment,mobile_app
TXN0039011,2025-06-21 22:08:10,ACC100705,ACC100224,1426.67,GBP,France,Panama,transfer,atm_withdrawal
TXN0015397,2025-07-07 11:05:10,ACC100118,ACC100570,34.94,GBP,United Kingdom,Malta,withdrawal,mobile_app
TXN0019817,2025-12-27 16:31:36,ACC101504,ACC102529,184.4,GBP,United States,U.S.A.,transfer,wire_transfer
TXN0053960,2025-05-11 10:12:46,ACC102865,ACC102313,344.25,GBP,Netherlands,Seychelles,transfer,mobile_app
TXN0049030,2025-10-27 14:42:13,ACC100398,ACC100479,261.19,GBP,Netherlands,United Kingdom,deposit,wire_transfer
TXN0021862,2025-06-17 03:31:22,ACC100225,ACC102805,149.81,GBP,UK,Canada,transfer,mobile_app
TXN0015769,2025-03-31 13:09:16,ACC101895,ACC102196,149.88,GBP,Germany,France,transfer,atm_withdrawal
TXN0057209,2025-11-19 18:37:05,ACC101221,ACC100211,66.87,GBP,France,Germany,withdrawal,online_transfer
TXN0036511,2025-05-26 08:32:47,ACC100221,ACC101584,344.85,GBP,Spain,Seychelles,withdrawal,online_transfer
TXN0055705,2025-05-20 10:27:39,ACC101992,ACC101003,442.13,GBP,United Kingdom,Australia,withdrawal,card_payment
TXN0018063,2025-11-23 10:08:25,ACC100670,ACC101883,285.71,GBP,Canada,France,transfer,mobile_app
TXN0035419,2025-09-01 15:33:51,ACC102391,ACC101578,129.67,GBP,Canada,U.S.A.,withdrawal,online_transfer
TXN0005784,29/01/2025 19:53,ACC100203,ACC101404,7321.52,GBP,Netherlands,United Kingdom,transfer,online_transfer
TXN0027929,2025-11-03 11:26:50,ACC100514,ACC100483,39.87,GBP,France,United Kingdom,transfer,mobile_app
TXN0035818,2025-01-14 15:27:45,ACC102127,ACC101359,327.24,GBP,Australia,United States,payment,card_payment
TXN0049213,2025-10-03 17:23:35,ACC102686,ACC101884,227.05,GBP,France,Netherlands,withdrawal,atm_withdrawal
